[02.12.07 15:22] q :  Albo duński dynamit :) . 
[26.09.07, 18:13] gaborek :  może jakoś jutro potrenujemy przed sobotą? 
[26.09.07, 18:04] gaborek :  tumdum: "Na tym odcinku autostrady jest 6 wiaduktów, które były wyburzane (stare poniemieckie) i robione nowe od podstaw. Stąd duża kwota w stosunku do długości." nie wiem czy wytłumaczenie dobre... ale lepsze niż żadne ;P 
[26.09.07, 17:39] msz :  o to, że będą obowiązkowe praktyki ... chyba jasno napisali :) 
[26.09.07, 17:28] ponton :  o co chodzi z tymi praktykami zawodowymi w nowym programie studiów? 
[26.09.07, 17:05] xberus :  to musi byc bardo gruba autostrada ;) 
[26.09.07, 17:03] tumdum :  15 mln za 1km autostrady? :O 
[26.09.07, 17:01] Silent_Mark :  no, lepsze to niz "rekord" z pomorza, i 500 metrow autostrady. 
[26.09.07, 16:52] xberus :  8 km to w naszym kraju nie taki krótki odcinek:P 
[26.09.07, 16:44] uzi :  Odnośnie końca "Książęcego" - w aktualnej "Polityce" jest artykuł na ten temat. Niestety, nie umiem go znaleźć w ich serwisie. 
[26.09.07, 16:39] eth :  No, ale nie słuchałeś jak p. premier mówił, że w tym roku żadnych większych odcinków nie planowano oddawać ? 
[26.09.07, 16:34] Silent_Mark :  [link] <http://biznes.onet.pl/0,1612719,wiadomosci.html> Polskie demony budownictwa... 
[26.09.07, 16:24] RaGnoR :  zapisy znowu działają, ciekawe na jak długo... 
[26.09.07, 16:18] kshaczek :  Bodajze jeden widzialem 
[26.09.07, 16:17] eth :  A to są takie, które mają mniej? 
[26.09.07, 16:17] kshaczek :  nirvanka: ja w ogóle nie czytam postow PM, ktore maja wiecej niz 3linijki. 
[26.09.07, 15:58] eth :  eee.. stare ? 
[26.09.07, 15:52] revo :  widzieliście to? [link] <http://www.tv.com/the-it-crowd/show/68733/summary.html> 
[26.09.07, 15:47] nirvanka :  Jeszcze kilka postów PM i przestanę się powstrzymywać nad kliknięciem "Ban" 
[26.09.07, 14:13] sahar :  Pani PKA pewnie :wiosna 
[26.09.07, 14:12] yanoo :  której? 
[26.09.07, 13:32] nirvanka :  zepsułeś! powiem pani!! 
[26.09.07, 12:42] Jachu :  no co się dzieje z tym systemem zapisów?! teraz to już się nawet nie ładuje :/ 
[26.09.07, 12:32] allek :  wejść owszem można... ale przeglądać przedmiotów się nie da 
[26.09.07, 12:08] xberus :  moj blad... nie mam pojecia dlaczego tak napisalem... 
[26.09.07, 11:24] yanoo :  awaria 
[26.09.07, 11:14] xberus :  Działają... była jakaś awarja, ale przed chwilą udało mi się wejść 
[26.09.07, 11:09] sahar :  mowia na miescie ...ze nie dzialaja zapisy, czy to prawda? 
[26.09.07, 10:48] Paczesiowa :  [link] <http://joemonster.org/art/7924/Jakie-posiadasz-inne-umiejetnosci> opis jest w tresci urla. podziekujcie adminowi za glupie skrypty 
[26.09.07, 10:26] desp :  A hardware też móżna ściągnąć? >< 
[26.09.07, 10:11] tumdum :  to juz... Enemy.Territory.Quake.Wars-RELOADED 
[25.09.07, 21:36] Silent_Mark :  [link] <http://www.onet.pl/307-46f958fc> Nasz prezydent Lech, ale ktory? 
[25.09.07, 20:28] dsk :  My mieliśmy wykłady z pisania interpretera na programowaniu... ;) 
[25.09.07, 20:10] yanoo :  mctl - każda pracownia z obowiązków jest wirtualna 
[25.09.07, 20:09] tumdum :  virtualna 
[25.09.07, 20:09] yanoo :  jak zarobić na nieboszczyku - podzielili sutanne Jana Pawła II na 100 tys części i będą je sprzedawać 
[25.09.07, 20:08] mctl :  pracownia z aisd(lic) jest wirtualna czy trzeba się systematycznie na niej pokazywać? :/ 
[25.09.07, 18:34] d* :  roolin, fajne było, jak w tle krzyczeli "boom" i wszyscy wtedy się słaniali na nogach i trzęśli swoimi biurkami:D 
[25.09.07, 18:14] roolin :  revo, ja to wiem, ale jakoś nie mam ochoty tego widzieć. 
[25.09.07, 17:36] xberus :  Zgodzę się odcinek średni... może poza japońskim bohaterem ;) Chodziło mi, że można zrobić coś z tego ciekawego... ale to już kwestia scenarzystów i ich wyobrażni... 
[25.09.07, 17:34] Paczesiowa :  jakos poza chearleaderkami nowymi to nic ciekawego i mowie to ja, a ja krwawie serialami 
[25.09.07, 16:53] xberus :  Heroes - zobaczymy, potencjal jest ;) 
[25.09.07, 15:01] tumdum :  stare 
[25.09.07, 14:27] BIGos :  :D TPB jest jak Jerzy Urban ;) nic im nie zrobią i ch... ;) 
[25.09.07, 14:19] Erotyczny :  [link] <http://thepiratebay.org/blog/86> hihihihi 
[25.09.07, 13:47] fala :  a mi działa, ale mam to w nosie :P 
[25.09.07, 13:45] gogo :  mi działają 
[25.09.07, 13:45] kad :  już działają 
[25.09.07, 13:38] nirvanka :  w ogóle ii nie działa 
[25.09.07, 13:27] Paczesiowa :  nie 
[25.09.07, 13:25] desp :  Działają wam zapisy? 
[25.09.07, 12:50] revo :  wystarczy w torrentz wpisać "stargate atlantis S04" 
[25.09.07, 12:19] Siledhel :  revo: masz jakiś link do tego? 
[25.09.07, 11:20] revo :  roolin, od jakiegoś czasu są dwa pierwsze odcinki w sieci w wersjach 'produkcyjnych' - brakuje części efektów specjalnych i dźwięków. Warto zobaczyć jak taki serial wygląda przed końcowym postprocessingiem :) 
[25.09.07, 10:57] Erotyczny :  futurama-napisy.prv.pl/ 
[25.09.07, 10:38] roolin :  a już w piątek SGA! 
[25.09.07, 9:10] xberus :  BG tak, wczesniej ma byc jakis miniserial... 
[25.09.07, 9:04] sahar :  ej ja tez bede glosowal na PiS jak JMA. Czego tylko wyksztalciuchy zdaja formale a ja nie moge %-)? 
[25.09.07, 8:57] BIGos :  nie twierdze ze nowe, tylko ze dobre ;) lost i battlestar galactica w styczniu dopiero? 
[25.09.07, 8:50] desp :  Stare. 
[25.09.07, 8:35] BIGos :  sciagam... sa tez 2 odcinki dextera, b dobre swoja droga. 
[25.09.07, 7:32] xberus :  Zobaczymy jak im to wyszło ;) 
[25.09.07, 4:19] Paczesiowa :  heroes podwojne 
[25.09.07, 2:35] Paczesiowa :  pb 
[24.09.07, 23:13] Paczesiowa :  ale kloci się nieregularnie coraz wiecej! 
[24.09.07, 23:13] Siledhel :  ale pisze w nich regularnie tylko parę osób 
[24.09.07, 22:26] msz :  no co ty, tematy o zabarwieniu politycznym sa pod wzgledem ilości postów zaraz po dowcipach i offtopach 
[24.09.07, 22:23] kshaczek :  osobiscie uwazam ze jest zasadniczy watek na temat polityki, jakkolwiek mnie szlag trafia jak to slysze ale duza czesc forumowiczow nie chce się interesowac polityka i trzeba to uszanowac. 
[24.09.07, 22:04] d* :  Zastanawiam się tylko na jakiej podstawie są stawiane takie twierdzenia jak "Media w Polsce nigdy nie były tak wolne jak dziś"... Może to [link] <http://wiadomosci.gazeta.pl/wiadomosci/1,55670,4220270.html> jest propaganda, ale /Dziennika telewizyjnego/ mi brak. Edit: Anyway, wybory nie bez powodu są tajne. 
[24.09.07, 22:02] nirvanka :  czy pożyczałam komuś z was teczkę z AN? 
[24.09.07, 21:36] desp :  *maggot*: Dzięki, pouczające. 
[24.09.07, 21:31] finrod :  maggot: nie było, dzięki. Nie przekonał mnie :) 
[24.09.07, 21:06] pozytywista :  wyniki z algebry pojawiły się na stronie AKO 
[24.09.07, 20:58] maggot :  Na stronie jma pojawiła się ciekawa notatka o jego preferencjach wyborczych. (Było?) 
[24.09.07, 20:26] nirvanka :  asgaroth ja moge - odezwij się na gygy 
[24.09.07, 20:15] Asgaroth :  czy jest ktos w stanie zaklepac mi miejsce u Andrzeja Lukaszewskiego na cwiczeniach z grafiki? Odwdziecze się :) 
[24.09.07, 19:23] Revontuli :  Czy ktoś mógłby mi zaklepać miejsce na semi z testowania oprogramowania? Ja mogę się na to zapisać dopiero jutro o 10:56. *EDIT:* Nieaktualne C= 
[24.09.07, 19:09] xormus :  zwolniło się miejsce na Seminarium: Testowanie oprogramowania 
[24.09.07, 16:59] cepe :  :D 
[24.09.07, 16:49] lamvak :  a ja zdalem JFIZO - w pierwszym roku pisania:D:D:D 
[24.09.07, 16:35] kszana :  Gratki :) 
[24.09.07, 16:29] cepe :  AaaaaaAAAA! zdałem algebre :) 
[24.09.07, 16:23] lamvak :  hej! nie zapomnijcie w sobote po spacerze wstapic do ii na ddr i karaoke:D 
[24.09.07, 16:08] Jachu :  TotalFailure: nie na, tylko w 
[24.09.07, 15:21] sahar :  KTO się NIE ZAPISAL, PRZEGRAL ZYCIE! 
[24.09.07, 14:19] TotalFailure :  Przeleciał 1300 km na skrzydle boeinga [link] <http://wiadomosci.onet.pl/1611033,69,item.html> 
[24.09.07, 14:13] roolin :  te dwa ostatni linki nie działają 
[24.09.07, 13:31] sahar :  zapisy.ii.uni.wroc.pl/ostre-niedostepne 
[24.09.07, 13:15] Sulej :  mamotujestem.pl 
[24.09.07, 13:00] rp :  odloty.pl 
[24.09.07, 12:59] yanoo :  U-P-AM-DUP-AE-Wr? [link] <http://miasta.gazeta.pl/wroclaw/1,35751,4513576.html> 
[24.09.07, 12:57] Erotyczny :  sexoferty.com.pl 
[24.09.07, 12:51] Paczesiowa :  agentki.pl 
[24.09.07, 10:27] sahar :  Uwaga Uwaga!!! Zmienily się terminy zajec z programowania funkcjonalnego. Osoby ktorym nie pasuje niech się wypisza:P a ja się wtedy zapisze:D 
[24.09.07, 9:06] sahar :  Zajebiscie się zapisalem :/ . Pozdrawiam Pania dr jak to czyta, szczegolnie chodzi o algorytm postepowania w tej sytuacji....<macha i wiwatuje> 
[24.09.07, 6:32] rraptorr :  *Erotyczny*: masz na myśli to [link] <http://www.progress.com/openedge/index.ssp> ? :> 
[24.09.07, 1:43] Erotyczny :  "znajomość bazy progress i oracle" 
[24.09.07, 0:06] Revontuli :  I od 11. 
[23.09.07, 22:20] boo :  w kazdym razie do 14 :p 
[23.09.07, 22:15] dsk :  chyba 11-14, ale nie jestem pewien 
[23.09.07, 22:02] boo :  @Sulej: 10-14 (albo 9-14) 
[23.09.07, 21:56] finrod :  dsk: a powinno byc odwrotnie [nagroda za lenistwo...] (; 
[23.09.07, 21:43] Sulej :  orientuje się ktoś w jakich godzinach jutro jest otwarty dziekanat? 
[23.09.07, 21:41] dsk :  To nie kara za lenistwo, ale nagroda za gorliwość. ;) 
[23.09.07, 21:30] yaqoob :  oj tak... dzieki... ale az 48h opoznienia??? straszna kara za lenistwo... 
[23.09.07, 21:00] nirvanka :  bo może się nie zagłosowało na przedmiociki? 
[23.09.07, 20:49] yaqoob :  szlag no, ja tez nie moge zapisac się, mimo ze niby juz minal termin rozpoczecia 
[23.09.07, 20:48] fintan :  @finrod: dzięki, znaczy można zaryzykować i przyjechać :) 
[23.09.07, 20:46] finrod :  @fintan: mam do niego przyjsc po wpis jutro, ale to o niczym nie swiadczy... 
[23.09.07, 20:33] eth :  desp: jak klikam w ten link co dałeś, to mi cały shoutbox znika.. 
[23.09.07, 20:26] d* :  Tego nie wiedzą nawet najstarsi górale :> 
[23.09.07, 20:03] fintan :  wie ktoś, kiedy KLO będzie na ii w najbliższych dniach? jutro może? 
[23.09.07, 19:51] desp :  Wyjaśnienie obrazka z pająkiem -- [link] <http://www.urbandictionary.com/define.php?term=Clock+Spider> 
[23.09.07, 19:46] mona :  bez sensu - pisze, że terminy się nie zmieniły, a mi przesunęli o jeden dzień ;( 
[23.09.07, 12:24] dsk :  "System Zapisów działa ponownie. Można więc podjąć po przerwie zapisywanie na zajęcia. Terminy zapisów nie zostały zmienione. P.Kanarek" 
[23.09.07, 12:11] q :  Zapisałem się i za 2 godziny wyjeżdżam, hurra. 
[23.09.07, 12:08] roolin :  ciekawe jak to teraz bedzie rozwiązane... 
[23.09.07, 12:06] dsk :  ZAPISY DZIAŁAJĄ 
[23.09.07, 12:02] Sulej :  teraz to już nawet główna strona ii nie działa ;] 
[23.09.07, 11:40] q :  Wczoraj mialem ""Warning: Unknown(/opt/www/zapisy/share/htdocs/s/index.php3): failed to open stream: Too many open files in Unknown on line 0 Warning: (null)(): Failed opening '/opt/www/zapisy/share/htdocs/s/index.php3' for inclusion (include_path='.:/opt/www/zapisy/share/include:/opt/www/zapisy/share/ph p_include') in Unknown on line 0"" :P. 
[23.09.07, 11:39] gaborek :  "Serwer nie był w stanie obsłużyć tego zapytania. Spróbuj ponownie." coraz to nowe rzeczy 
[23.09.07, 10:23] q :  Co znaczy, że mineły już 4 limity czasu. Zrobiłem zmianę dodatkowych (trwa aktualizcja) na !. Tu jest wersja dla wielbicieli diffa: [link] <http://ii.yebood.com/cache/zapisy/zapisy_plain.html> 
[23.09.07, 10:15] Tener :  Dane z godziny 11:07:28(trwa aktualizcja)(trwa aktualizcja)(trwa aktualizcja)(trwa aktualizcja) 
[23.09.07, 10:05] gaborek :  myślę że są tu tacy co by mogli :| 
[23.09.07, 10:01] msz :  jakby coś mogło mu jeszcze zaszkodzić 
[23.09.07, 9:53] gaborek :  cache'owany co minute by nie obciążać serwera zapisów 
[23.09.07, 9:51] kamil :  "connection limit exceeded" ... a 'podglad systemow zapisow' jest jakos cache'owany, czy z kazdym wywolaniem forum laczy się z systemem zapisow ? 
[23.09.07, 9:21] Paczesiowa :  eeewww!! 
[23.09.07, 8:28] lispozord :  Mnie się kiedyś śniło, że JMA był w komisji maturalnej. :) 
[23.09.07, 8:05] kshaczek :  Snilo mi się ze JMA mi wstawil uwage do dziennika... eh wtf? :/ Pirzmoszczurowi tez wstawil. 
[23.09.07, 7:16] kamil :  Warning: pg_pconnect(): Unable to connect to PostgreSQL server: FATAL: connection limit exceeded for non-superusers in /opt/www/zapisy/share/php_include/db_pgsql.inc on line 38 
[23.09.07, 2:04] mona :  AAaaAaaaAAAaaaA roolin mnie zaraził fajną piosenką [link] <http://www.youtube.com/watch?v=8owwOdxeHmk> idę spać i trzeźwieć ;) 
[23.09.07, 1:22] lewe zero :  proponuje mini-ankiete przy kazdym poscie; max 10 pytan z 5-stopniowa skala. albo system metapostow, w ktorych ludzie beda szczegolowo opisywali swoje wrazenia po przeczytaniu danego posta i wymieniali jakie (wirtualne) gratyfikacje oferuja autorowi ;) 
[23.09.07, 1:19] desp :  [Stawiam 0.7888888888888431 browca] 
[23.09.07, 1:11] q :  Jak już liście staną się szczególnym przyapdkiem browca, to taki suwak mógłby być od -1 do 1 :) . 
[23.09.07, 1:08] msz :  niech obok "stawiam browca" będzie suwak i browca będzie można postawić od 0.01 do 1.00 
[23.09.07, 0:47] Siledhel :  bu, a myślałem, że nikt przede mną nie wpadł na taki genialny pomysł. No ale mega browce byłyby lepsze. Nie wiem jak wy, ale ja czasem mam ochotę takiego postawić ;P 
[23.09.07, 0:36] q :  Cóż za odmiana, wcześniej pojawiały się sugestie dot. małych piw (za pół stawki) ;). 
[23.09.07, 0:23] Siledhel :  Zróbmy mega browce, za podwójną ilość punktów. Można by stawiać albo takie, albo takie. Jak się komuś coś bardzo spodoba to postawi mega browca, a jak tak trochę, to zwykłego :P 
[22.09.07, 23:58] Siledhel :  ale kiedyś na hydeparku wch było ciekawie 
[22.09.07, 23:40] rraptorr :  ale to było dawno i już naprawili tego buga (TWI opowiadał na bazach ;>) 
[22.09.07, 23:40] rraptorr :  nie, ostatnie dwa lata działały całkiem dobrze, chociaż jeszcze starsze roczniki pamiętają jakie były jaja z systemem, jak wszyscy mieli zapisy w tym samym czasie, to każda strona się ładowała nawet po kilka minut 
[22.09.07, 23:39] q :  Ostatnia irytująca awaria to była bodaj ta w okolicach wpisu 1658 z [link] <http://www.ii.uni.wroc.pl/~wch/hydepark/stary/hydepark1601-1750.html> 
[22.09.07, 23:31] ponton :  pytanie do starszych roczników: czy przy każdych zapisach jest jakaś awaria? ;) 
[22.09.07, 23:27] MasterOfDisaster :  Dobra, idę w kimę - i tak do rana nic nie zrobią 
[22.09.07, 22:48] q :  Z ii ma przekierowanie na gmaila :) 
[22.09.07, 22:38] MasterOfDisaster :  nadałem jaj na gmaila - tego odbiera też w domu 
[22.09.07, 22:33] Sulej :  wydaje mi się, że PKA sprawdza maila tylko w II... a tam chyba będzie dopiero w poniedziałek. 
[22.09.07, 22:02] maggot :  Zdaje się, że Ragnor do niej napisał już rano. 
[22.09.07, 21:56] MasterOfDisaster :  zaraz do niej napiszę 
[22.09.07, 21:56] MasterOfDisaster :  Z braku odpowiedzi wnioskuję, że Przemka może po prostu nie wiedzieć o awarii 
[22.09.07, 21:27] MasterOfDisaster :  Że tak zapytam: czy ktoś napisał do Przemki? I czy dostał odpowiedź? 
[22.09.07, 20:42] q :  Biorąc pod uwagę, że system zapisów jest przeciążony, a ciagłe autoodświeżanie na pewno mu nie pomaga, proponuję odświeżać stronę [link] <http://ii.yebood.com/test.php5> , która cachuje stan strony co minutę (bo i tak tyle trwa jej wczytanie). Jeśli system "legalnie" nie wyrabia, to powinno to pomóc. 
[22.09.07, 19:10] Jachu :  lol 
[22.09.07, 17:38] d* :  masz do tego temat: [link] <http://www.ii.yebood.com/viewtopic.php?t=2681> nie spamuj na shoucie 
[22.09.07, 17:28] Jachu :  ważne!!! dwóch studentów informatyki wynajmie pokój, mieszkanie, psią budę, garaż, hale produkcyjną, budkę telefoniczną, cokolwiek... 
[22.09.07, 16:04] sahar :  jak jutro rusza, to bede skladal reklacje na przedmioty na ktore się nie zapisalem. Bo dopiero w poniedzialek zaczne na nowa się tym intereoswac. 
[22.09.07, 15:54] rraptorr :  I po co się przejmować? Pewnie i tak ruszą dopiero w poniedziałek, bo jesli dzisiaj nikt nie naprawił, to jutro raczej też nie :P 
[22.09.07, 15:50] Erotyczny :  cholera jasna by szczeliła te zapisy 
[22.09.07, 14:52] sahar :  dzaialaja zapisy!!!!!!! prima aprilis.... 
[22.09.07, 14:07] sahar :  o mnie napisali ze zdam formalne w 2008 roku. Trzeba im wierzyc na slowo 
[22.09.07, 14:00] gaborek :  bo JMa się nie boi lustracji, a ja się boję... jak tworzyli te teczki to mnie jeszcze na świecie nie było i skąd mam wiedzieć co w nich jest? co o mnie napisali? 
[22.09.07, 13:37] sahar :  ja zaglosuje na JMA..co by się dostal do Sejmu ;-) 
[22.09.07, 13:27] q :  Ja mam plan "zapisać się i wyjechać". Mam nadzieję, że ktoś pokroju tego gościa od ggfr nie robi (d)dosa po to, by mu nikt miejsc nie zajął. 
[22.09.07, 13:25] MasterOfDisaster :  A WIECIE, ŻE JMa głosuje na PiS - może to on zrobił 
[22.09.07, 13:23] sahar :  najlepsze jest to, ze w domu nie mam dostepu do internetu. Specjalniej przyjechalem do pracy się zapisac. Powiedzmy ze się zapisze...zapisy zostana anulowane pewnie....i wznowione ze się nie kapne. I bedzie kupa...to taki czarno-bialy scenariusz 
[22.09.07, 13:17] q :  PiS obecnie rządzi i nie działają. Może to wina PSL, który ostatnio się do internetu dorwał? 
[22.09.07, 13:13] sahar :  dlatego glosujmy na PiS. Moze chociaz zapisy beda wtedy dzialac 
[22.09.07, 13:12] msz :  zauważmy, że padł serwer *PO*stgresql 
[22.09.07, 12:59] gaborek :  element nagonki na PiS 
[22.09.07, 12:28] rraptorr :  Nie, to wszystko wina PO ;P 
[22.09.07, 12:27] d* :  pewnie lewica :o 
[22.09.07, 12:27] rraptorr :  przyznać się, kto zepsuł? ;> 
[22.09.07, 12:12] sahar :  akurat wtedy kiedy mam zapisy 
[22.09.07, 12:09] d* :  są jakby ich nie było :> 
[22.09.07, 12:08] sahar :  co z tymi zapisami.... 
[22.09.07, 12:00] ryba :  zdechlo, a od 40 min mam zapisy :D 
[22.09.07, 11:51] gaborek :  Nein! 
[22.09.07, 11:45] d* :  działa Wam system zapisów? 
[22.09.07, 0:31] finrod :  ciekawe... kopiowałem z bookmarka... :| 
[22.09.07, 0:26] PM :  {skasuj mnie} 
[22.09.07, 0:25] cepe :  finrod: link nie dziala - jedno n za duzo dales: [link] <http://www.puzzlepicnic.com/> 
[22.09.07, 0:14] finrod :  [link] <http://www.puzzlepicnic.com> -- jakby komuś się nudziło :> 
[21.09.07, 23:37] q :  Jeśli Cię to naprawdę dręczy to znajdź sobie temat "głupie pytania", albo spytaj kogokolwiek w odpowiedniejszym miejscu, podejrzewam, ze ~80% dojrzałego społeczeństwa wie. 
[21.09.07, 23:14] PM :  q: teoretycznie można IQ mnożyć przez wiek fizyczny/100 i wyjdzie nam jakieś coś zwane wiekiem intelektualnym i to niby jest inteligencją. Tylko że nadal nie wiem, jak to dodać, bądź stwierdzić, że suma jest stała. 
[21.09.07, 22:35] kshaczek :  [link] <http://ii.yebood.com/viewtopic.php?p=51833#51833> jest propozycja ksywki dla Pawla M. -- *expert*. Jest wolna i jest dobra. 
[21.09.07, 22:01] q :  IQ to iloraz inteligencji przecież, a nie inteligencja. 
[21.09.07, 21:50] PM :  O właśnie, jest takie powiedzonko: "Suma inteligencji jest stała. Liczba ludności rośnie." O co w tym chodzi? Rozumiem oczywiście, że sugeruje się, że ludzie są coraz głupsi, ale co to jest suma inteligencji? Przecież IQ jest skalą względną i 100 zawsze oznacza średni wynik. Żeby to dodawać, potrzeba by było jakiejś skali bezwzględnej i to liniowej... 
[21.09.07, 20:38] Railman :  10zl od kazdego brakujacego punktu IQ 
[21.09.07, 19:47] yanoo :  a ile wołają? 
[21.09.07, 18:44] PM :  Składek mi się nie chciało płacić. 
[21.09.07, 18:40] MasterOfDisaster :  PM, zrezygnowałeś, czy dostałeś bana? 
[21.09.07, 18:32] PM :  Nakłamałem? Przestań! Nie należę do Mensy i już. To, że oni nie aktualizują danych na stronie, to już ich sprawa:] 
[21.09.07, 18:05] Erotyczny :  a czemu nakłamałeś z mensą ? czy to była tylko ironia ? 
[21.09.07, 18:04] Erotyczny :  Widzisz drogi Pawle - robisz postępy 
[21.09.07, 16:29] msz :  ok, już nie będę. Niestety zdarzają się chwile słabości :) 
[21.09.07, 16:21] PM :  I nie karm trolla. 
[21.09.07, 16:21] PM :  Na forum natomiast nie tyle pisze się, co postuje. 
[21.09.07, 16:20] PM :  "powiedzieć" 1. &#171;przekazać za pomocą słów jakieś myśli, informacje&#187; (by PWN) 
[21.09.07, 16:20] dsk :  Notatki z numerycznej repetki nie są takie ważne. Przydaje się tam być i zobaczyć numerki w praktyce by PWO. 
[21.09.07, 16:17] Asgaroth :  czy ktos jeszcze oprocz mnie nie ma wspisanych punktow/ocenionej pracy (JFiZO) ? 
[21.09.07, 16:12] ponton :  [browar] ;p 
[21.09.07, 16:09] msz :  "napisał", a nie "powiedział" jeśli już bawimy się w nadmierną upierdliwość :) 
[21.09.07, 16:03] PM :  on nie powiedział "wziąść" tylko "wziaść" 
[21.09.07, 16:02] d* :  "wziąść" nie istnieje, nie ma takiego słowa, zdajesz sobie z tego sprawę, prawda weds? 
[21.09.07, 15:38] weds :  kshaczek - nie, to co innego - musze wziaść ćwiczenia w piatek, żeby móc iść na wykład z Javy 
[21.09.07, 15:34] Ayertienna :  weds -> ehh ci przedwcześni AiSDowcy.. może się na coś przydacie i będziecie notatki dla mnie z numerkowej repety robić? :P 
[21.09.07, 15:26] kshaczek :  czyli pierwsze dwa piatki bedziesz na wykladzie, a reszte uznasz ze tak czy siak zrobisz sobie wolny piatek. 
[21.09.07, 15:25] weds :  czyli wolny piątek czy wykład z Javy :) 
[21.09.07, 15:18] weds :  Ayertienna - alg. grafowe :P 
[21.09.07, 14:15] msz :  ha! a JMA mnie nastraszył, że poprawianie wszystkich trzech cześci przez ponad 8 godzin jest "nierealne". Na szczęscie nie jestem przesądny :D 
[21.09.07, 14:03] sahar :  ja to jestem gamon. Wzialbym się w koncu za te formalne ;-).....Podobno do 4-ech razy sztuka 
[21.09.07, 13:53] Zielak :  [link] <http://www.ii.uni.wroc.pl/~jma/wyniki_egz.xhtml> SĄ WYNIKI Z JFIZO! 
[21.09.07, 13:47] Ayertienna :  no będzie ;/ ehh nie podoba mi się ten plan przeokrutnie 
[21.09.07, 13:36] Asgaroth :  jezeli bedzie ja prowadzil PWO, to naprawde warto na nia przyjsc. 
[21.09.07, 13:29] sahar :  na numerkach repeta jest najwazniejsza 
[21.09.07, 13:25] Ayertienna :  weds -> na logikui mod. i tempor. ci się spieszy? hmm może to nie jest głupi pomysł.. (ale wtedy rachunek prawdopodobienstwa mi odpada..) 
[21.09.07, 13:24] Ayertienna :  a bez repety z numerków? 
[21.09.07, 12:42] kszana :  @sahar: lol, prawie jak w StW :wiosna 
[21.09.07, 12:06] sahar :  [link] <http://www.smog.pl/wideo/12857/pociag_przejezdza_przez_targowisko/> - bylo stare i w ogole jest do dupy 
[21.09.07, 11:39] Jachu :  jak nie masz pojęcia o języku ani programowaniu obiektowym to warto chodzić, w p.p. niewarto 
[21.09.07, 11:13] msz :  na pewno można sobie poradzić bez wykładu 
[21.09.07, 11:08] weds :  Jest po co chodzić na wykłady z Javy czy można sobie spokojnie wziaść co innego w tym czasie :) ? 
[21.09.07, 10:32] rp :  jak ktos ma ladowarke nokii (np. do 2600) i bedzie dzisiaj w ii, to bym prosil o przysluge 
[21.09.07, 9:42] gaborek :  wyrzucanie offtopicowych postów z offtopicowych tematów jest dziwne :D 
[21.09.07, 9:38] szuliq :  chyb a się jajka leppera nie przyjęły, wiec odleciały :( 
[21.09.07, 7:23] gaborek :  [STARE!] .... czasem leci coś fajnego, a częściej nie - jak w każdej TV :P 
[21.09.07, 0:24] roolin :  MoD, a nie o robieniu własnego piwa? 
[21.09.07, 0:24] Paczesiowa :  a moim zdaniem to dosc ciekawe doswiadczenie pokazujace ze przecietnemu telewidzowi plci meskiej tylko jedno w glowie. 
[21.09.07, 0:22] MasterOfDisaster :  Jak pomyślę, że płacąc akcyzę podczas picia piwa utrzymuję tę telewizję to myślę o abstynencji 
[20.09.07, 23:59] Erotyczny :  [link] <http://www.widelec.pl/widelec/1,82861,4505536.html> tv interaktywna 
[20.09.07, 22:57] d* :  Sulej, zazwyczaj można było nawet po tych 3 dniach roboczych (oczywiście, dzięki Aniołowi) 
[20.09.07, 22:43] PM :  [link] <http://miasta.gazeta.pl/wroclaw/1,35751,4506584.html> "Nie mylić z polibudą." 
[20.09.07, 22:32] Sulej :  podanie o przedłużenie sesji należy złożyć jutro czy można w ciągu tych 3-ech dni roboczych po sesji? 
[20.09.07, 21:54] kszana :  Dokładnie. MMS pewnie się zgodzi, trzeba jednak zapytać się, żeby chociaż jakiś termin zdradził. :) 
[20.09.07, 21:37] Beny :  czyli nic nie wiadomo oprocz tego ze ktos moze to zalatwi? 
[20.09.07, 21:37] msz :  vectra tam chyba jest 
[20.09.07, 21:32] Erotyczny :  Czy ktoś jest może z inżynierskiej ? Z jakiej sieci można by było tam wziąć net ? 
[20.09.07, 20:53] kszana :  We wtorek byliśmy u MMS, ale jego nie było. Nie wiem, czy ktoś był później jeszcze pytać się o III termin. 
[20.09.07, 20:49] Beny :  mam pytanie - wie ktos co z tym 3cim terminem z MD? 
[20.09.07, 19:08] kshaczek :  System zapisow wypelnil się danymi.... 
[20.09.07, 17:18] Cutter :  sam mówił. w poniedzialek po południu wrzuci na stronę 
[20.09.07, 16:45] pozytywista :  Ktoś może pytał AKO, kiedy będą wyniki dzisiejszej poprawki z algebry? 
[20.09.07, 16:26] tumdum :  563 wiadomosci przez 10 dni... ;( 
[20.09.07, 15:29] Erotyczny :  co wy byście zrobili gdybym zaliczył dyskretną od razu dzieci.... 
[20.09.07, 14:34] kszana :  @yanoo: dzięki za info ;] 
[20.09.07, 14:32] PM :  [link] <http://images.google.pl/images?q=indesit%20moon> Strzeż się podróbek! 
[20.09.07, 14:04] yanoo :  @kszana - jeśli dobrze słyszałem, to Anioł z dziekanatu już rozmawiał o tym z WCh i się nie macie czym martwić :] 
[20.09.07, 13:47] kszana :  Jestem 400km od Wroc, to jakoś nie mam jak :) 
[20.09.07, 13:43] Minoslaf :  zbiórczy? aa. no lepiej jednak żebyś sam wypełnił zeby potem zonka nie mieć;) 
